,id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Booking Status Predicted
82,42182,2,0,2,5,1,0,0,184,2018,8,17,1,0,0,0,118.0,1,1
83,42183,2,0,2,1,0,0,0,256,2017,9,15,1,0,0,0,94.5,2,0
84,42184,2,0,1,2,0,0,0,87,2018,12,11,0,0,0,0,75.0,0,0
85,42185,1,0,1,2,0,0,0,0,2018,6,10,0,0,0,0,120.0,0,0
86,42186,2,0,1,2,0,0,0,77,2018,3,19,0,0,0,0,75.0,0,0
87,42187,1,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,95.0,0,0
88,42188,2,0,2,3,0,0,1,53,2017,11,12,0,0,0,0,60.0,0,0
89,42189,2,0,2,3,0,0,0,41,2018,10,27,0,0,0,0,85.0,0,0
90,42190,2,0,1,2,0,0,0,121,2018,6,24,1,0,0,0,90.0,1,0
91,42191,2,1,2,6,0,0,0,132,2018,8,9,1,0,0,0,135.0,2,0
92,42192,2,0,1,1,0,0,0,105,2018,4,18,0,0,0,0,75.0,0,0
93,42193,3,0,2,2,0,0,1,141,2018,7,10,1,0,0,0,137.7,2,0
94,42194,3,0,2,5,0,0,1,65,2018,4,14,1,0,0,0,149.4,1,0
95,42195,3,0,1,4,0,0,1,168,2018,7,6,1,0,0,0,130.05,0,1
96,42196,2,0,0,3,0,0,1,130,2018,7,29,1,0,0,0,139.5,0,1
97,42197,2,0,1,4,0,0,1,88,2018,3,4,1,0,0,0,82.45,0,0
98,42198,2,0,1,3,2,0,1,35,2018,9,5,1,0,0,0,123.82,0,1
99,42199,2,0,2,5,1,0,0,155,2018,7,7,1,0,0,0,103.5,1,1
100,42200,2,0,1,1,1,0,0,131,2018,10,16,1,0,0,0,108.0,1,1
101,42201,2,0,2,5,0,0,0,147,2018,4,1,1,0,0,0,90.95,0,1
102,42202,2,0,1,2,0,0,0,107,2018,6,7,0,0,0,0,130.0,0,0
103,42203,1,0,1,2,0,0,4,4,2018,8,22,2,0,0,0,106.0,0,0
104,42204,2,0,1,0,2,0,0,75,2018,10,30,1,0,0,0,105.0,0,1
105,42205,2,0,0,1,0,0,0,27,2018,6,11,0,0,0,0,105.0,0,0
106,42206,2,0,1,2,0,0,2,47,2017,10,19,0,0,0,0,72.36,1,0
107,42207,2,0,2,0,0,0,0,130,2018,4,24,1,0,0,0,100.8,0,1
108,42208,1,0,0,3,0,0,0,55,2017,12,31,2,0,0,0,85.67,1,0
109,42209,2,0,1,2,0,0,0,124,2018,3,30,1,0,0,0,114.3,1,0
110,42210,2,0,2,5,0,0,1,134,2018,8,10,1,0,0,0,113.62,2,0
111,42211,2,0,1,1,0,0,0,95,2018,5,6,0,0,0,0,80.75,0,0
112,42212,2,0,0,2,0,0,1,78,2018,5,3,1,0,0,0,140.4,1,0
113,42213,2,0,2,3,0,0,1,123,2018,10,1,1,0,0,0,125.55,0,1
114,42214,1,0,5,11,0,0,0,66,2018,9,12,1,0,0,0,85.38,0,1
115,42215,2,0,0,2,1,0,0,145,2018,6,30,1,0,0,0,94.5,1,0
116,42216,2,0,0,2,0,0,0,166,2018,10,19,1,0,0,0,118.8,2,1
117,42217,2,0,0,3,0,0,0,85,2018,10,29,0,0,0,0,85.0,0,0
118,42218,1,0,1,2,0,0,0,3,2018,12,16,0,0,0,0,75.0,0,0
119,42219,3,0,0,2,0,0,1,30,2018,11,6,1,0,0,0,142.78,1,0
120,42220,2,0,2,0,0,0,2,131,2018,7,24,1,0,0,0,105.5,1,0
121,42221,2,0,2,3,0,0,0,256,2018,10,2,1,0,0,0,100.75,1,1
122,42222,2,0,0,3,0,0,0,229,2018,10,27,1,0,0,0,70.44,1,0
123,42223,2,0,0,2,0,0,0,3,2018,6,7,0,0,0,0,130.0,0,0
124,42224,2,0,0,5,0,0,1,185,2018,8,6,1,0,0,0,114.75,0,1
125,42225,2,0,1,2,0,0,0,127,2018,6,27,1,0,0,0,96.3,0,1
126,42226,2,0,1,5,0,0,1,128,2018,10,18,1,0,0,0,132.3,0,1
127,42227,1,0,0,2,0,0,0,3,2018,10,25,0,0,0,0,95.0,0,0
128,42228,2,1,0,1,0,0,0,152,2018,8,27,1,0,0,0,112.0,2,1
129,42229,3,0,0,3,0,0,1,82,2018,6,9,1,0,0,0,129.59,2,0
130,42230,1,0,0,3,0,0,0,64,2018,5,17,1,0,0,0,140.0,1,0
131,42231,2,0,0,2,2,0,0,273,2017,7,17,1,0,0,0,109.0,1,1
132,42232,1,0,0,3,0,0,0,335,2018,10,13,2,0,0,0,55.33,0,1
133,42233,3,0,2,1,0,1,0,37,2018,5,13,1,0,0,0,215.55,0,0
134,42234,1,0,0,1,0,0,0,361,2018,11,11,1,1,1,0,91.0,0,1
135,42235,2,0,2,3,1,0,0,129,2018,5,13,1,0,0,0,80.75,2,0
136,42236,2,1,2,0,0,0,0,5,2018,3,26,1,0,0,0,146.0,2,0
137,42237,2,0,0,3,0,0,1,83,2018,10,19,1,0,0,0,132.3,0,1
138,42238,1,0,0,2,0,0,1,17,2018,3,7,2,0,0,0,75.0,0,0
139,42239,1,0,0,3,0,0,1,4,2018,4,14,3,0,0,0,110.0,0,0
140,42240,2,0,1,3,0,0,0,232,2018,9,12,1,0,0,0,100.3,0,1
141,42241,2,0,0,2,0,1,0,203,2018,8,5,1,0,0,0,105.3,0,1
142,42242,2,0,0,3,0,0,0,44,2018,2,20,0,0,0,0,75.0,0,0
143,42243,3,0,0,4,0,0,1,160,2018,8,27,1,0,0,0,137.7,0,1
144,42244,1,0,1,2,2,0,0,85,2018,9,3,0,0,0,0,100.0,0,0
145,42245,1,0,1,2,0,0,0,81,2018,4,22,1,0,0,0,90.9,0,1
146,42246,2,0,1,1,0,0,0,189,2018,10,6,1,0,0,0,108.9,0,1
147,42247,2,0,0,2,2,0,0,377,2018,6,14,0,0,0,0,115.0,1,1
148,42248,1,0,2,4,0,0,0,28,2018,2,8,1,0,0,0,73.42,0,1
149,42249,2,0,1,5,0,0,1,129,2018,10,25,1,0,0,0,132.3,0,1
150,42250,2,0,2,2,1,0,0,150,2018,10,30,1,0,0,0,80.1,1,0
151,42251,2,0,0,1,0,0,1,26,2018,9,15,1,0,0,0,184.0,1,0
152,42252,2,0,2,1,1,0,0,133,2018,8,17,1,0,0,0,94.5,0,1
153,42253,2,0,2,4,0,0,0,136,2018,11,28,1,0,0,0,85.16,0,1
154,42254,2,0,1,5,0,0,1,126,2018,7,28,0,0,0,0,144.13,2,0
155,42255,2,0,2,2,2,0,1,6,2018,12,27,1,0,0,0,113.72,1,0
156,42256,2,0,1,2,0,0,0,203,2018,8,5,1,0,0,0,105.3,1,1
157,42257,2,0,2,4,1,0,0,81,2018,11,25,1,0,0,0,67.83,0,1
158,42258,0,2,0,2,0,0,2,28,2018,2,25,1,0,0,0,69.53,0,0
159,42259,1,0,0,2,0,0,0,256,2018,6,15,1,0,0,0,115.0,1,1
160,42260,2,1,0,1,0,0,0,31,2018,3,16,1,0,0,0,171.0,0,1
161,42261,3,0,1,4,0,0,1,178,2018,7,28,1,0,0,0,127.62,1,1
162,42262,2,0,1,0,1,0,0,166,2018,7,25,1,0,0,0,94.5,0,1
163,42263,2,0,0,5,0,0,1,204,2018,8,12,1,0,0,0,133.2,0,1
164,42264,2,0,0,1,0,0,0,8,2018,11,2,0,0,0,0,130.0,0,0
165,42265,2,0,2,0,0,0,1,109,2018,8,4,1,0,0,0,127.8,0,1
166,42266,2,2,2,1,1,0,3,14,2017,8,17,1,0,0,0,153.0,2,0
167,42267,2,0,0,3,0,0,0,103,2018,5,5,0,0,0,0,78.0,0,0
168,42268,2,1,1,2,0,0,0,141,2018,8,22,1,0,0,0,94.56,0,1
169,42269,2,0,0,3,0,0,0,74,2018,11,24,0,0,0,0,75.0,0,0
170,42270,2,0,0,4,0,0,1,238,2018,10,7,1,0,0,0,132.6,1,1
171,42271,2,0,0,3,0,0,0,262,2018,10,26,1,0,0,0,100.3,1,1
172,42272,2,0,0,1,2,0,0,55,2018,4,2,0,0,0,0,104.0,1,0
173,42273,1,0,0,3,0,0,0,58,2018,1,27,0,0,0,0,87.0,0,0
174,42274,2,0,0,4,0,0,0,276,2018,12,28,1,0,0,0,81.43,0,1
175,42275,2,0,2,0,0,0,0,14,2018,3,27,0,0,0,0,101.0,0,0
176,42276,2,0,2,3,0,0,1,115,2018,5,29,1,0,0,0,92.83,2,0
177,42277,2,0,2,2,1,0,3,45,2018,10,1,1,0,0,0,159.08,2,0
178,42278,3,0,1,0,0,0,0,123,2018,10,30,0,0,0,0,90.0,2,0
179,42279,2,0,2,2,0,0,0,159,2018,8,23,0,0,0,0,72.25,0,0
180,42280,1,0,1,2,0,0,0,32,2018,9,4,1,0,0,0,131.4,1,0
181,42281,3,0,0,3,0,1,1,7,2018,8,25,1,0,0,0,161.0,2,0
182,42282,1,0,1,1,2,0,0,301,2018,7,25,0,0,0,0,90.0,0,0
183,42283,0,2,0,3,0,0,2,45,2018,2,24,1,0,0,0,67.5,1,0
184,42284,2,2,1,5,2,0,3,44,2018,10,17,1,0,0,0,207.9,1,1
185,42285,2,0,1,2,0,0,1,19,2018,1,2,0,0,0,0,48.67,0,0
186,42286,2,0,2,5,0,1,0,60,2018,3,6,1,0,0,0,82.95,0,0
187,42287,2,0,2,3,0,0,0,116,2018,5,15,1,0,0,0,105.3,0,1
188,42288,1,0,2,2,0,0,0,64,2018,11,18,1,0,0,0,86.4,1,0
189,42289,2,0,2,2,0,0,0,224,2018,8,8,0,0,0,0,102.25,0,1
190,42290,2,0,1,2,0,0,1,31,2017,10,23,0,0,0,0,75.0,0,0
191,42291,2,0,1,3,0,0,0,240,2018,8,10,1,0,0,0,90.95,0,1
192,42292,1,0,0,2,2,0,0,6,2017,10,12,1,0,0,0,0.0,0,0
193,42293,2,1,1,0,0,0,0,67,2018,10,22,1,0,0,0,135.0,0,1
194,42294,3,0,0,2,0,0,1,256,2018,10,1,1,0,0,0,133.2,0,1
195,42295,2,0,1,1,0,0,0,122,2018,6,27,1,0,0,0,96.3,2,0
196,42296,3,0,0,1,0,0,1,2,2018,12,23,1,0,0,0,119.0,1,0
197,42297,2,0,1,1,0,0,0,43,2018,8,26,0,0,0,0,85.5,0,0
198,42298,1,0,0,2,0,0,0,51,2018,11,16,0,0,0,0,75.0,0,0
199,42299,2,0,0,3,0,0,1,88,2018,9,5,1,0,0,0,149.4,0,1
200,42300,2,0,0,2,0,1,0,174,2018,11,8,1,0,0,0,126.9,1,0
201,42301,2,0,2,0,1,0,0,135,2018,5,28,1,0,0,0,101.7,1,0
202,42302,2,0,1,4,0,0,0,126,2018,5,29,1,0,0,0,76.58,1,0
203,42303,3,0,0,1,0,0,1,63,2018,9,7,1,0,0,0,126.0,1,0
204,42304,2,0,0,3,0,0,0,41,2018,5,2,0,0,0,0,80.75,0,0
205,42305,2,1,0,2,0,0,0,32,2018,8,15,1,0,0,0,152.1,1,0
206,42306,3,0,1,0,0,0,1,14,2018,6,20,1,0,0,0,179.0,1,0
207,42307,2,1,0,2,0,0,0,30,2018,11,1,1,0,0,0,162.4,2,0
208,42308,2,0,1,2,0,0,0,109,2018,7,2,1,0,0,0,88.01,1,0
209,42309,1,0,0,1,0,0,0,110,2017,10,9,0,0,0,0,70.0,0,0
210,42310,2,0,0,3,0,0,0,100,2018,9,28,0,0,0,0,140.0,0,0
211,42311,2,0,1,2,0,0,0,121,2017,7,13,1,0,0,0,76.5,0,1
212,42312,3,0,0,3,0,0,0,79,2018,4,12,1,0,0,0,128.7,2,0
213,42313,2,0,0,2,2,0,0,346,2018,9,11,1,0,0,0,115.0,1,1
214,42314,2,0,0,3,0,0,1,8,2018,5,10,1,0,0,0,156.0,0,1
215,42315,2,0,1,3,0,0,0,88,2018,5,10,0,0,0,0,80.75,0,0
216,42316,2,0,0,3,1,0,0,205,2018,8,12,1,0,0,0,95.5,1,1
217,42317,2,0,0,3,0,0,0,105,2017,10,12,0,0,0,0,70.0,0,0
218,42318,2,0,2,1,0,0,0,107,2017,8,11,1,0,0,0,76.5,1,0
219,42319,2,0,2,2,0,1,1,12,2018,7,3,1,0,0,0,163.67,1,0
220,42320,1,0,2,4,1,0,0,23,2018,11,11,1,0,0,0,85.27,1,0
221,42321,2,0,1,3,0,0,0,198,2018,8,7,1,0,0,0,90.95,1,0
222,42322,2,0,0,3,1,0,0,166,2018,11,4,1,0,0,0,80.1,0,1
223,42323,2,0,0,2,0,0,0,56,2017,11,25,0,0,0,0,75.0,0,0
224,42324,1,0,1,3,0,0,0,64,2018,9,1,1,0,0,0,109.65,0,1
225,42325,1,0,0,1,0,0,1,1,2018,7,20,1,0,0,0,176.0,2,0
226,42326,2,0,2,5,0,0,0,113,2018,12,20,1,0,0,0,88.4,0,1
227,42327,2,1,0,1,0,0,0,16,2018,4,5,1,0,0,0,127.0,2,0
228,42328,2,0,2,3,0,0,0,47,2018,1,23,0,0,0,0,60.0,0,0
229,42329,2,0,2,5,0,1,0,92,2017,10,16,1,0,0,0,89.25,1,0
230,42330,2,0,2,2,0,0,0,153,2018,7,26,1,0,0,0,91.38,0,1
231,42331,2,0,1,3,0,0,1,68,2018,9,8,1,0,0,0,149.4,1,0
232,42332,2,0,1,2,0,0,0,129,2018,6,10,1,0,0,0,126.9,1,0
233,42333,2,0,2,5,0,0,1,66,2018,4,22,1,0,0,0,108.8,0,1
234,42334,2,0,1,3,0,0,1,22,2017,10,20,0,0,0,0,75.0,0,0
235,42335,2,0,1,3,0,0,1,78,2018,5,5,1,0,0,0,140.4,0,1
236,42336,1,0,0,2,2,0,0,74,2017,9,18,0,0,0,0,86.0,0,0
237,42337,2,0,0,4,0,0,0,114,2018,7,1,1,0,0,0,106.3,0,1
238,42338,1,0,2,1,0,0,0,145,2018,1,18,0,0,0,0,68.0,0,0
239,42339,2,0,0,3,0,0,0,29,2017,12,31,0,0,0,0,115.0,0,0
240,42340,3,0,3,7,0,0,1,56,2018,10,24,1,0,0,0,139.5,2,0
241,42341,2,0,2,4,0,0,0,107,2017,8,17,1,0,0,0,76.5,0,1
242,42342,2,0,0,1,1,0,0,156,2018,8,27,1,0,0,0,94.5,0,1
243,42343,2,0,2,5,0,0,0,113,2017,8,21,1,0,0,0,85.0,1,1
244,42344,3,0,0,3,0,0,1,110,2018,12,25,1,0,0,0,132.3,1,0
245,42345,2,0,0,3,0,0,0,3,2017,10,1,0,0,0,0,75.0,0,0
246,42346,2,2,0,4,0,0,3,279,2018,8,24,1,0,0,0,174.3,0,1
247,42347,2,1,2,1,0,0,0,71,2018,8,6,1,0,0,0,134.1,0,1
248,42348,2,0,0,2,0,0,0,181,2018,10,11,1,0,0,0,120.0,1,1
249,42349,2,2,0,2,0,0,3,19,2018,8,6,1,0,0,0,231.0,2,0
250,42350,2,0,1,2,0,0,0,64,2018,6,17,0,0,0,0,140.0,0,0
251,42351,2,2,0,2,0,0,3,0,2017,8,17,1,0,0,0,156.0,1,0
252,42352,2,2,0,1,0,0,3,83,2018,5,4,1,0,0,0,159.3,0,1
253,42353,2,0,2,1,0,0,0,228,2018,10,16,1,0,0,0,119.85,1,1
254,42354,2,1,0,1,1,0,0,0,2017,12,7,1,0,0,0,75.0,0,0
255,42355,2,0,0,3,0,0,0,117,2018,2,1,0,0,0,0,75.0,0,0
256,42356,2,0,2,0,2,0,0,150,2018,10,16,0,0,0,0,90.0,0,1
257,42357,1,0,1,0,0,0,0,3,2017,10,12,2,1,0,4,65.0,0,0
258,42358,2,0,0,2,0,0,0,151,2018,7,19,1,0,0,0,105.3,0,1
259,42359,1,0,2,0,2,0,0,12,2017,10,4,0,0,0,0,72.0,0,0
260,42360,2,0,0,2,0,0,2,330,2018,10,14,1,0,0,0,106.7,2,1
261,42361,3,0,2,3,0,0,1,87,2018,12,24,1,0,0,0,119.0,1,0
262,42362,3,0,0,3,0,0,1,67,2018,4,26,1,0,0,0,128.7,0,1
263,42363,2,0,0,3,0,0,0,72,2018,9,21,0,0,0,0,95.0,0,0
264,42364,1,0,0,1,0,0,1,0,2018,3,1,2,0,0,0,75.0,0,0
265,42365,2,2,0,3,0,0,3,44,2018,2,17,1,0,0,0,173.0,1,0
266,42366,2,0,1,4,1,0,0,217,2018,10,24,1,0,0,0,80.75,3,0
267,42367,2,1,1,0,0,0,0,13,2018,6,20,1,0,0,0,134.1,0,1
268,42368,2,0,0,0,0,0,0,308,2018,11,25,0,0,0,0,52.0,0,1
269,42369,2,0,0,4,0,0,0,164,2018,5,5,1,0,0,0,99.45,0,1
270,42370,2,0,0,3,0,0,1,88,2018,10,25,1,0,0,0,104.4,1,1
271,42371,2,0,1,3,0,0,0,7,2017,8,5,0,0,0,0,66.0,0,0
272,42372,2,0,1,2,0,0,0,338,2018,10,7,0,0,0,0,80.0,1,0
273,42373,2,0,0,4,0,0,1,160,2018,7,14,1,0,0,0,137.7,0,1
274,42374,2,0,2,2,0,0,1,152,2018,10,23,1,0,0,0,104.4,2,1
275,42375,2,0,0,2,0,0,0,157,2018,7,28,1,0,0,0,96.3,2,0
276,42376,2,2,0,1,0,0,3,21,2018,7,6,1,0,0,0,231.0,2,0
277,42377,2,0,0,3,0,0,1,185,2018,10,5,1,0,0,0,122.4,0,1
278,42378,2,1,0,3,0,0,1,72,2018,4,27,1,0,0,0,90.53,0,1
279,42379,2,3,1,3,0,0,5,59,2018,8,22,1,0,0,0,134.62,1,0
280,42380,2,0,1,1,0,0,0,70,2018,8,22,0,0,0,0,80.0,2,0
281,42381,2,0,1,2,0,0,1,253,2018,5,30,1,0,0,0,140.4,3,0
282,42382,2,0,0,2,0,0,0,314,2018,10,12,0,0,0,0,75.0,0,1
283,42383,2,0,2,2,0,0,0,258,2018,5,22,1,0,0,0,100.3,0,1
284,42384,2,0,2,3,0,0,0,145,2018,4,29,1,0,0,0,82.15,1,0
285,42385,2,0,1,2,0,0,0,12,2017,12,26,0,0,0,0,58.0,0,0
286,42386,2,2,1,0,0,0,3,86,2018,5,16,1,0,0,0,198.9,0,1
287,42387,1,0,1,2,0,0,0,64,2018,11,7,1,0,0,0,143.2,0,1
288,42388,1,0,1,2,0,0,0,1,2017,9,9,0,0,0,0,90.0,0,0
289,42389,2,0,1,2,0,0,1,46,2017,10,19,0,0,0,0,60.0,1,0
290,42390,2,0,0,4,0,0,0,188,2018,8,26,1,0,0,0,90.95,0,1
291,42391,2,1,2,3,2,0,0,108,2018,12,24,1,0,0,0,120.8,2,0
292,42392,2,0,0,1,0,0,1,8,2018,5,25,1,0,0,0,176.34,2,0
293,42393,2,1,1,2,0,0,0,84,2018,7,16,1,0,0,0,121.5,2,0
294,42394,2,0,0,1,0,0,0,120,2018,12,28,1,0,0,0,104.4,1,0
295,42395,1,0,0,1,0,0,0,78,2018,4,8,1,0,0,0,90.9,0,1
296,42396,1,0,2,1,0,0,0,1,2018,11,28,0,0,0,0,45.0,0,0
297,42397,2,1,2,3,0,0,0,203,2018,8,17,1,0,0,0,116.45,0,1
298,42398,3,0,2,3,0,1,1,56,2018,9,8,1,0,0,0,167.4,0,0
299,42399,2,0,2,2,0,0,0,141,2018,7,20,1,0,0,0,107.95,0,1
300,42400,2,0,1,1,2,0,0,301,2018,7,30,0,0,0,0,90.0,1,0
301,42401,2,0,1,2,0,0,0,122,2018,5,14,1,0,0,0,105.3,1,0
302,42402,2,0,2,2,0,0,1,154,2018,8,24,1,0,0,0,124.8,1,1
303,42403,2,0,0,2,0,0,0,207,2018,5,4,1,0,0,0,106.2,2,1
304,42404,3,0,0,1,0,0,1,46,2018,6,19,1,0,0,0,159.3,1,0
305,42405,2,0,0,2,0,0,0,102,2018,10,21,1,0,0,0,119.7,2,0
306,42406,2,0,2,3,0,0,0,224,2018,10,29,1,0,0,0,82.11,1,0
307,42407,2,0,2,2,0,0,0,67,2018,11,13,0,0,0,0,75.0,0,0
308,42408,2,0,2,3,1,0,0,69,2018,3,20,0,0,0,0,59.5,0,0
309,42409,2,2,2,0,0,0,3,56,2018,8,13,1,0,0,0,207.9,1,0
310,42410,2,0,0,2,0,0,0,154,2018,7,7,1,0,0,0,114.3,1,1
